Step ,Description,StepDescription,TargetModule,NextState,SuccessCondition1,SuccessCondition2,SuccessCondition3,FailCondition,FailState,TimeoutSeconds,Assignations,Sound
0.0.0,Begin,Begin,ALL,Next,AllOk,,,,Same,10,SMCReady=1,
1.1.1,StartingConditions,Initialization,ALL,Next,,,,,Same,1,CurrentPart=0 PartCount=0 FetchPart=0 Position=0 SMCReady,
1.2.1,StartingConditions,LoadScript,SADB,Next,SADBReady,,,SADBFailed,Previous,1,SADBReady,
1.3.1,StartingConditions,InitT3K,T3K,Next,T3KReady,,,T3KFailed,Same,1,T3KReady,
1.3.2,StartingConditions,InitT3W,T3W,Next,T3WReady,,,T3WFailed,Same,10,,
1.3.3,StartingConditions,InitT3O,T3O,Next,T3OReady,,,T3OFailed,Same,10,,
1.3.4,StartingConditions,InitIAD,IAD,Next,IADReady,,,IADFailed,Same,10,Position=0 GRIPMode=0,
1.3.5,StartingConditions,InitKUKA,KUKA,Next,KUKAReady,,,KUKAFailed,Same,10,,
1.3.6,StartingConditions,InitGRIP,GRIP,Next,GRIPReady,,,GRIPFailed,Same,15,,
1.4.1,StartingConditions,InitTaskInfo,SADB,Next,SADBReady,,,SADBFailed,1.1.1,15,SADBReady,
1.5.1,StartingConditions,StartCollisionCheck ,T3O,Next,FreeSpace,,,T3OFailed,Same,5,Position=1 GRIPMode=0,
2.1.1,StartTask,HumanReady,T3W,Next,WorkerInMainWorkspace,,,T3WFailed,Same,15,,
3.2.1,MoveIADToWorkArea,CollisionAvoidance,T3O,Next,FreeSpace,,,NoSpace,Same,10,,
3.3.1,MoveIADToWorkArea,FetchApproach1,KUKA,Next,IADMoveComplete,KUKAMoveComplete,GRIPOpen,KUKAFailed,Same,10,CurrentPart=1 FetchPart=1 GRIPMode=3,
3.3.2,MoveIADToWorkArea,BiasGRIP,GRIP,Next,,,,GRIPFailed,Same,1,,
3.3.3,MoveIADToWorkArea,Fetch1,KUKA,Next,KUKAMoveComplete,,,KUKAFailed,Same,10,,
3.3.4,MoveIADToWorkArea,CloseGRIP,GRIP,Next,,,GRIPClose,GRIPFailed,Same,10,GRIPPosition=0,
3.3.5,MoveIADToWorkArea,Retract1,KUKA,Next,KUKAMoveComplete,,,KUKAFailed,Same,10,Position=1,
3.3.6,MoveIADToWorkArea,MoveToReadyPosition,KUKA,Next,KUKAMoveComplete,IADMoveComplete,,KUKAFailed,Same,10,PartCount=1,AcknowledgeSound
4.1.1,Part1Presentation,HumanReadyToReceive,T3W,Next,WorkerReadyForPart,,,T3WFailed,Same,15,,
4.2.1,Part1Presentation,MoveToHandoverPosition,KUKA,Next,KUKAMoveComplete,IADMoveComplete,,KUKAFailed,4.1.1,15,Position=2,
5.1.1,Handover1,Handover,GRIP,Next,HandoverComplete,,,GRIPFailed,4.1.1,15,,
5.2.1,Handover1,Wait,ALL,Next,,,,,Same,1,,
5.2.2,Handover1,MoveToReadyPosition,KUKA,Next,KUKAMoveComplete,IADMoveComplete,,KUKAFailed,5.1.1,60,Position=1,
6.1.2,AssemblyGraspPart2,OpenGRIP,GRIP,Next,,,GRIPOpen,GRIPFailed,Same,1,GRIPMode=3,
6.2.1,AssemblyGraspPart2,FetchApproach2,KUKA,Next,KUKAMoveComplete,,,KUKAFailed,Same,15,,
6.2.2,AssemblyGraspPart2,BiasGRIP,GRIP,Next,,,,GRIPFailed,Same,1,,
6.2.3,AssemblyGraspPart2,Fetch2,KUKA,Next,KUKAMoveComplete,,,KUKAFailed,Same,15,,
