"Step ",Description,StepDescription,TargetModule,NextState,SuccessCondition1,SuccessCondition2,SuccessCondition3,FailCondition,FailState,TimeoutSeconds,Assignations,Sound
0.0.0,Begin,Begin,ALL,Next,AllOk,,,,Same,10,SMCReady=1,
1.1.1,StartingConditions,Initialization,ALL,Next,,,,,Same,1,"CurrentPart=0 PartCount=0 Fetch1Part=0 Position=0 SMCReady",
1.2.1,StartingConditions,LoadScript,SADB,Next,SADBReady,,,SADBFailed,Previous,1,SADBReady,
1.3.1,StartingConditions,InitT3K,T3K,Next,T3KReady,,,T3KFailed,Same,1,T3KReady,
1.4.1,StartingConditions,InitT3W,T3W,Next,T3WReady,,,T3WFailed,Same,10,,
1.5.1,StartingConditions,InitT3O,T3O,Next,T3OReady,,,T3OFailed,Same,10,,
1.6.1,StartingConditions,InitIAD,IAD,Next,IADReady,,,IADFailed,Same,10,"Position=0 GRIPMode=0",
1.7.1,StartingConditions,InitKUKA,KUKA,Next,KUKAReady,,,KUKAFailed,Same,10,,
1.8.1,StartingConditions,InitGRIP,GRIP,Next,GRIPReady,,,GRIPFailed,Same,15,,
1.9.1,StartingConditions,InitTaskInfo,SADB,Next,SADBReady,,,SADBFailed,1.1.1,15,SADBReady,
1.10.1,StartingConditions,"StartCollisionCheck ",T3O,Next,FreeSpace,,,T3OFailed,Same,5,"Position=1 GRIPMode=0",
1.11.1,StartingConditions,StartPlanner,Planner,Next,PlannerReady,,,PlannerFailed,Same,10,,
2.1.1,WaitIADMove,WantStartMove,Planner,Next,GetPart,,,PlannerDontGo,Same,1,,
2.2.1,MoveIADToWorkArea,CollisionAvoidance,T3O,Next,FreeSpace,,,NoSpace,Same,10,,
2.3.1,MoveIADToWorkArea,FetchApproach1,KUKA,Next,IADMoveComplete,KUKAMoveComplete,GRIPOpen,KUKAFailed,Same,10,"CurrentPart=1 Fetch1Part=1 GRIPMode=3",
2.4.1,MoveIADToWorkArea,BiasGRIP,GRIP,Next,,,,GRIPFailed,Same,1,,
2.5.1,MoveIADToWorkArea,Fetch1,KUKA,Next,KUKAMoveComplete,,,KUKAFailed,Same,10,,
2.6.1,MoveIADToWorkArea,CloseGRIP,GRIP,Next,,,GRIPClose,GRIPFailed,Same,10,GRIPPosition=0,
2.7.1,MoveIADToWorkArea,Retract1,KUKA,Next,KUKAMoveComplete,,,KUKAFailed,Same,10,Position=1,
2.8.1,MoveIADToWorkArea,MoveToReadyPosition,KUKA,Next,KUKAMoveComplete,IADMoveComplete,,KUKAFailed,Same,10,PartCount=1,AcknowledgeSound
2.9.1,NotifyPlannerMoveDone,MoveComplete,Planner,Next,PlannerACK,,,PlannerNACK,Same,1,,
3.1.1,WaitMoveToPerson,WantMoveToPerson,Planner,Next,MoveToPerson,,,PlannerDontGo,Same,1,,
3.2.1,PartPresentation,MoveToHandoverPosition,KUKA,Next,KUKAMoveComplete,IADMoveComplete,,KUKAFailed,5.1.1,15,Position=2,
3.3.1,NotifyPlannerPartPresentationDone,PartPresentationDone,Planner,Next,PlannerACK,,,PlannerNACK,Same,1,,
4.1.1,WaitForHandover,WantStartHandover,Planner,Next,StartHandover1,,,PlannerDontGo,Same,1,,
4.2.1,Handover,Handover1,GRIP,Next,,,,,,15,,
4.3.1,HandoverQuery,HandoverOkay,Planner,Next,HandoverComplete,,,GRIPFailed,4.3.1,1,,
5.1.1,WaitMoveBack,WantMoveBack,Planner,Next,StartMoveBack,,,PlannerDontGo,Same,1,,
5.2.1,MoveBackToReady,MoveToReadyPosition,KUKA,Next,KUKAMoveComplete,IADMoveComplete,,KUKAFailed,11.1.1,60,Position=1,
5.3.1,NotifyPlannerBackToReady,BackToReadyDone,Planner,2.1.1,PlannerACK,,,PlannerNACK,Next,1,,
6.1.1,"Finish ",MoveToRestPosition,KUKA,Next,IADMoveComplete,KUKAMoveComplete,,KUKAFailed,23.1.1,15,Position=0,
7.1.1,End,End,SMC,0.0.0,,,,,,60,,
