"Step ",Description,StepDescription,TargetModule,NextState,SuccessCondition1,SuccessCondition2,SuccessCondition3,FailCondition,FailState,TimeoutSeconds,Assignations,Sound
0.0.0,Begin,Begin,ALL,Next,AllOk,,,,Same,10,SMCReady=1,
1.11.1,StartingConditions,StartPlanner,Planner,Next,PlannerReady,,,PlannerFailed,Same,10,,
2.1.1,WaitIADMove,WantStartMove,Planner,Next,GetPart,,,PlannerDontGo,Same,1,,
2.9.1,NotifyPlannerMoveDone,MoveComplete,Planner,Next,PlannerACK,,,PlannerNACK,Same,1,,
3.1.1,WaitMoveToPerson,WantMoveToPerson,Planner,Next,MoveToPerson,,,PlannerDontGo,Same,1,,
3.3.1,NotifyPlannerPartPresentationDone,PartPresentationDone,Planner,Next,PlannerACK,,,PlannerNACK,Same,1,,
4.1.1,WaitForHandover,WantStartHandover,Planner,Next,StartHandover,,,PlannerDontGo,Same,1,,
4.3.1,HandoverQuery,HandoverOkay,Planner,Next,PlannerACK,,,PlannerNACK,4.3.1,0,WorkerDisposedPart=1,
5.1.1,WaitMoveBack,WantMoveBack,Planner,Next,StartMoveBack,,,PlannerDontGo,Same,1,,
5.3.1,NotifyPlannerBackToReady,BackToReadyDone,Planner,2.1.1,PlannerACK,,,PlannerNACK,Next,1,,
7.1.1,End,End,SMC,0.0.0,,,,,,60,,
